,bill_id,title,date
321,965,Planning Applications (Appeals by Town and Parish Councils) Bill,2012-03-06T00:00:00
322,879,Police (Detention and Bail) Act 2011,2011-07-05T00:00:00
323,754,Police Reform and Social Responsibility Act 2011,2010-11-30T00:00:00
324,767,Police Terms and Conditions of Service (Redundancy) Bill,2010-10-20T00:00:00
325,765,Postal Services Act 2011,2010-10-13T00:00:00
326,833,Prevention of Terrorism Bill,2011-03-02T00:00:00
327,871,Private Landlords (Register and Duties) Bill,2011-06-14T00:00:00
328,964,"Private Pensions (Charges, Disclosure and Accountability) Bill",2012-03-01T00:00:00
329,851,Protection of Bowling Greens (Development Control) Bill,2011-03-28T00:00:00
330,830,Protection of Freedoms Act 2012,2011-02-11T00:00:00
331,703,Protection of Local Services (Planning) Bill,2010-06-30T00:00:00
332,894,Provision of Hydration and Nutrition for the Terminally Ill Bill,2011-09-14T00:00:00
333,786,Public Bodies Act 2011,2010-10-28T00:00:00
334,714,Public Bodies (Disposal of Assets) Bill,2010-07-05T00:00:00
335,696,Public Bodies (Sustainable Food) Bill,2010-06-30T00:00:00
336,920,"Public Festivals, Holidays and Commemorations Bill",2011-12-13T00:00:00
337,802,Public Libraries and Museums Act 1964 (Amendment) Bill,2010-12-01T00:00:00
338,949,Public Sector Bonuses Bill,2012-01-31T00:00:00
339,948,Public Sector Salaries Bill,2012-01-31T00:00:00
340,686,Public Services (Social Value) Act 2012,2010-06-30T00:00:00
341,219,Reading Borough Council Act 2013,2007-11-27T00:00:00
342,750,Recall of Elected Representatives Bill,2010-07-26T00:00:00
343,953,Recall of Elected Representatives (No. 2) Bill,2012-01-31T00:00:00
344,655,Re-Export Controls Bill [HL],2010-05-26T00:00:00
345,752,Referendum (European Union) Bill [HL],2010-07-27T00:00:00
346,712,Referendums Bill,2010-07-05T00:00:00
347,915,Registration of Commercial Lobbying Interests Bill,2011-12-06T00:00:00
348,715,Regulatory Authorities (Level of Charges) Bill,2010-07-05T00:00:00
349,705,Rehabilitation of Offenders (Amendment) Bill [HL],2010-06-29T00:00:00
350,872,Remembrance Day (Bank Holiday) Bill,2011-06-15T00:00:00
351,820,Remembrance Sunday (Closure of Shops) Bill [HL],2011-01-25T00:00:00
352,770,"Reporting of Injuries, Diseases and Dangerous Occurrences Regulation Bill",2010-10-21T00:00:00
353,718,Residential Roads (Adoption by Local Authorities) Bill,2010-07-05T00:00:00
354,834,Resource Extraction (Transparency and Reporting) Bill,2011-03-01T00:00:00
355,721,Return of Asylum Seekers (Applications from Certain Countries) Bill,2010-07-05T00:00:00
356,725,Rights Bill,2010-07-05T00:00:00
357,864,Road Safety Bill,2011-05-18T00:00:00
358,910,Road Safety (No. 2) Bill,2011-11-22T00:00:00
359,959,Road Safety (No. 3) Bill,2012-02-21T00:00:00
360,781,Road Traffic Accident (Personal Injury) (Amendment) Bill,2010-10-21T00:00:00
361,764,Royal Commission (London) Bill,2010-10-12T00:00:00
362,803,Safe Standing (Football Stadia) Bill,2010-12-07T00:00:00
363,745,Safety of Medicines Bill,2010-07-20T00:00:00
364,779,Sale of Park Homes Bill,2010-10-21T00:00:00
365,698,Sale of Tickets (Sporting and Cultural Events) Bill,2010-06-30T00:00:00
366,758,Savings Accounts and Health in Pregnancy Grant Act 2010,2010-09-15T00:00:00
367,680,Scotland Act 2012,2010-11-30T00:00:00
368,900,Scrap Metal Dealers (Amendment) Bill [HL],2011-10-19T00:00:00
369,702,Secured Lending Reform Bill,2010-06-30T00:00:00
370,774,Self-Employment (Risk Assessment Exemption) Bill,2010-10-21T00:00:00
371,726,Sentencing (Reform) Bill,2010-07-05T00:00:00
372,756,Sex and Relationships Education Bill,2010-09-08T00:00:00
373,859,Sex Education (Required Content) Bill,2011-05-04T00:00:00
374,926,Sexual Offences (Amendment) Bill,2012-01-17T00:00:00
375,737,Shared Parenting Orders Bill,2010-07-13T00:00:00
376,972,Small Business Administration Bill,2012-03-27T00:00:00
377,931,Smoke-free Private Vehicles Bill [HL],2012-01-25T00:00:00
378,875,Smoking in Private Vehicles Bill,2011-06-22T00:00:00
379,733,Snow Clearance Bill,2010-07-05T00:00:00
380,874,Social Care Portability Bill [HL],2011-06-22T00:00:00
381,877,Sovereign Grant Act 2011,2011-06-30T00:00:00
382,843,Special Urban Development Zones Bill,2011-03-16T00:00:00
383,695,Sports Grounds Safety Authority Act 2011,2010-06-30T00:00:00
384,811,St George's Day and St David's Day Bill,2010-12-15T00:00:00
385,930,Statements of Taxation Bill,2012-01-25T00:00:00
386,918,Subterranean Development Bill [HL],2011-12-08T00:00:00
387,816,Succession to the Crown Bill,2011-01-18T00:00:00
388,978,Suicide (Prevention) Bill,2012-04-25T00:00:00
389,883,Sunday Trading (Amendment) Bill,2011-07-06T00:00:00
390,974,Sunday Trading (London Olympic Games and Paralympic Games) Act 2012,2012-03-28T00:00:00
391,740,Superannuation Act 2010,2010-07-15T00:00:00
392,960,Supply and Appropriation (Anticipation and Adjustments) Act 2012,2012-02-28T00:00:00
393,882,Supply and Appropriation (Main Estimates) Act 2011,2011-07-06T00:00:00
