name,party_id,startDate,endDate
יצחק אהרונוביץ',,2006-04-17T00:00:00,2009-02-24T00:00:00
דב חנין,,2006-04-17T00:00:00,2009-02-24T00:00:00
יוסי ביילין,,2006-04-17T00:00:00,2008-11-04T00:00:00
אריאל אטיאס,,2006-04-17T00:00:00,2009-02-24T00:00:00
חיים אמסלם,,2006-04-17T00:00:00,2009-02-24T00:00:00
אברהם מיכאלי,,2006-04-17T00:00:00,2009-02-24T00:00:00
אליהו גבאי,,2006-04-17T00:00:00,2009-02-24T00:00:00
אריה האן,,2006-04-17T00:00:00,2007-05-31T00:00:00
דוד לב,,2006-04-17T00:00:00,2006-09-01T00:00:00
ירדנה מלר-הורוביץ,,2006-04-17T00:00:00,2009-02-24T00:00:00
נאזם בדר,,2006-04-17T00:00:00,2009-02-24T00:00:00
"יצחק שד""ר",,2006-04-17T00:00:00,2009-02-24T00:00:00
אבי לוי,,2006-04-17T00:00:00,2010-09-30T00:00:00
אורנה אנג'ל,,2006-02-08T00:00:00,2006-02-15T00:00:00
בנימין נתניהו,,2006-01-26T00:00:00,2006-04-17T00:00:00
ליה שמטוב,,2006-04-17T00:00:00,2009-02-24T00:00:00
אלכס מילר,,2006-04-17T00:00:00,2009-02-24T00:00:00
יוסף שגל,,2006-04-17T00:00:00,2009-02-24T00:00:00
סטס מיסז'ניקוב,,2006-04-17T00:00:00,2009-02-24T00:00:00
אברהים צרצור,,2006-04-17T00:00:00,2009-02-24T00:00:00
עבאס זכור,,2006-04-17T00:00:00,2009-02-24T00:00:00
שי חרמש,,2006-04-28T00:00:00,2009-02-24T00:00:00
דליה איציק,,2006-05-04T00:00:00,2009-02-24T00:00:00
אבי בלשניקוב,,2006-06-07T00:00:00,2009-02-24T00:00:00
מגלי והבה,,2006-05-15T00:00:00,2007-10-29T00:00:00
גיורא פורדס,,1997-03-01T00:00:00,2009-02-24T00:00:00
שבח וייס,,1996-06-24T00:00:00,1999-06-07T00:00:00
אסתר סלמוביץ,,1992-07-28T00:00:00,1996-06-17T00:00:00
שמריהו בן-צור,,1996-07-07T00:00:00,1999-06-07T00:00:00
מרדכי בן-פורת,,1974-02-04T00:00:00,1976-01-27T00:00:00
דב בן-מאיר,,1984-09-24T00:00:00,1988-11-19T00:00:00
זאב שפר,,1951-08-20T00:00:00,1955-08-15T00:00:00
פנחס שינמן,,1974-02-04T00:00:00,1977-06-13T00:00:00
אליעזר שוסטק,,1984-09-24T00:00:00,1988-11-21T00:00:00
שלמה רוזן,,1969-11-17T00:00:00,1972-11-20T00:00:00
חיים קופמן,,1991-07-22T00:00:00,1992-07-13T00:00:00
יוסף סרלין,,1951-08-20T00:00:00,1952-12-24T00:00:00
יוסף סרלין,,1961-09-04T00:00:00,1965-11-22T00:00:00
יוסף סרלין,,1965-11-22T00:00:00,1969-11-17T00:00:00
משה סרדינס,,1967-02-01T00:00:00,1969-11-17T00:00:00
טובה סנהדראי,,1963-07-03T00:00:00,1965-11-22T00:00:00
טובה סנהדראי,,1965-11-22T00:00:00,1969-11-17T00:00:00
טובה סנהדראי,,1969-11-17T00:00:00,1974-01-21T00:00:00
דבורה נצר,,1965-11-22T00:00:00,1969-11-17T00:00:00
אהרן נחמיאס,,1984-09-24T00:00:00,1988-11-21T00:00:00
אליאס נחלה,,1971-10-26T00:00:00,1974-01-21T00:00:00
בנימין מינץ,,1951-08-20T00:00:00,1955-08-15T00:00:00
בנימין מינץ,,1955-08-15T00:00:00,1959-11-30T00:00:00
בנימין מינץ,,1959-11-30T00:00:00,1960-08-04T00:00:00
