Unnamed: 0,date,file_path,debate_title,country
51,2010-10-11,Data/speeches/UK/hildren from Deprived Areas (Educational Achievement) 2010-10-11.json,Children from Deprived Areas (Educational Achievement),2.0
52,2010-10-20,Data/speeches/UK/limate Change_ Cancun 2010-10-20.json,Climate Change: Cancun,2.0
53,2010-10-13,Data/speeches/UK/oal-burning Power Stations 2010-10-13.json,Coal-burning Power Stations,2.0
54,2010-10-20,Data/speeches/UK/ommissioning and Procurement 2010-10-20.json,Commissioning and Procurement,2.0
55,2010-10-11,Data/speeches/UK/ommons Chamber 2010-10-11.json,Commons Chamber,2.0
56,2010-10-12,Data/speeches/UK/ommons Chamber 2010-10-12.json,Commons Chamber,2.0
57,2010-10-13,Data/speeches/UK/ommons Chamber 2010-10-13.json,Commons Chamber,2.0
58,2010-10-14,Data/speeches/UK/ommons Chamber 2010-10-14.json,Commons Chamber,2.0
59,2010-10-18,Data/speeches/UK/ommons Chamber 2010-10-18.json,Commons Chamber,2.0
60,2010-10-19,Data/speeches/UK/ommons Chamber 2010-10-19.json,Commons Chamber,2.0
61,2010-10-20,Data/speeches/UK/ommons Chamber 2010-10-20.json,Commons Chamber,2.0
62,2010-10-21,Data/speeches/UK/ommons Chamber 2010-10-21.json,Commons Chamber,2.0
64,2010-10-21,Data/speeches/UK/ommunities and Local Government 2010-10-21.json,Communities and Local Government,2.0
65,2010-10-21,Data/speeches/UK/ommunity Assets 2010-10-21.json,Community Assets,2.0
66,2010-10-14,Data/speeches/UK/ompany Reporting (Operating and Financial Review) 2010-10-14.json,Company Reporting (Operating and Financial Review),2.0
67,2010-10-20,Data/speeches/UK/omprehensive Spending Review 2010-10-20 (1).json,Comprehensive Spending Review,2.0
68,2010-10-20,Data/speeches/UK/omprehensive Spending Review 2010-10-20.json,Comprehensive Spending Review,2.0
69,2010-10-14,Data/speeches/UK/ontaminated Blood and Blood Products 2010-10-14.json,Contaminated Blood and Blood Products,2.0
70,2010-10-21,Data/speeches/UK/utting Crime (Justice Reinvestment) 2010-10-21.json,Cutting Crime (Justice Reinvestment),2.0
71,2010-10-14,Data/speeches/UK/yberattacks_ EU Committee Report 2010-10-14.json,Cyberattacks: EU Committee Report,2.0
72,2010-10-21,Data/speeches/UK/yclists_ Deaths 2010-10-21.json,Cyclists: Deaths,2.0
74,2010-10-12,Data/speeches/UK/ebt Management (Bank of England) 2010-10-12.json,Debt Management (Bank of England),2.0
75,2010-10-12,Data/speeches/UK/eficit Reduction 2010-10-12.json,Deficit Reduction,2.0
76,2010-10-13,Data/speeches/UK/egree Validation (University of London) 2010-10-13.json,Degree Validation (University of London),2.0
79,2010-10-11,Data/speeches/UK/epartmental Guidance (Head Teachers) 2010-10-11.json,Departmental Guidance (Head Teachers),2.0
80,2010-10-20,Data/speeches/UK/epartmental Procurement 2010-10-20.json,Departmental Procurement,2.0
81,2010-10-12,Data/speeches/UK/epartmental Spending Challenge 2010-10-12.json,Departmental Spending Challenge,2.0
83,2010-10-12,Data/speeches/UK/igital Switchover_ Communications Committee Report 2010-10-12.json,Digital Switchover: Communications Committee Report,2.0
84,2010-10-21,Data/speeches/UK/irectly Elected Mayors 2010-10-21.json,Directly Elected Mayors,2.0
85,2010-10-11,Data/speeches/UK/isabled People_ Dementia 2010-10-11.json,Disabled People: Dementia,2.0
86,2010-10-18,Data/speeches/UK/ivorce 2010-10-18.json,Divorce,2.0
87,2010-10-13,Data/speeches/UK/raft EU Budget 2011 2010-10-13.json,Draft EU Budget 2011,2.0
88,2010-10-14,Data/speeches/UK/ast Coast Inshore Fishing Fleet 2010-10-14.json,East Coast Inshore Fishing Fleet,2.0
89,2010-10-12,Data/speeches/UK/conomic Growth 2010-10-12 (1).json,Economic Growth,2.0
90,2010-10-12,Data/speeches/UK/conomic Growth 2010-10-12 (2).json,Economic Growth,2.0
91,2010-10-12,Data/speeches/UK/conomic Growth 2010-10-12.json,Economic Growth,2.0
92,2010-10-06,Data/speeches/UK/conomy_ Spending Cuts 2010-10-06.json,Economy: Spending Cuts,2.0
93,2010-10-11,Data/speeches/UK/ducation 2010-10-11.json,Education,2.0
95,2010-10-18,Data/speeches/UK/ducation Policy 2010-10-18.json,Education Policy,2.0
96,2010-10-18,Data/speeches/UK/ducation Psychology 2010-10-18.json,Education Psychology,2.0
97,2010-10-19,Data/speeches/UK/ducation_ Lifelong Learning 2010-10-19.json,Education: Lifelong Learning,2.0
98,2010-10-18,Data/speeches/UK/ducation_ Marshall Scholarships 2010-10-18.json,Education: Marshall Scholarships,2.0
99,2010-10-13,Data/speeches/UK/ducation_ Overseas Students 2010-10-13.json,Education: Overseas Students,2.0
100,2010-10-21,Data/speeches/UK/ducation_ Special Educational Needs 2010-10-21.json,Education: Special Educational Needs,2.0
101,2010-10-13,Data/speeches/UK/ffectiveness of Delivery 2010-10-13.json,Effectiveness of Delivery,2.0
102,2010-10-20,Data/speeches/UK/lections and Returning Officers 2010-10-20.json,Elections and Returning Officers,2.0
103,2010-10-12,Data/speeches/UK/mployment_ Defence Expenditure 2010-10-12.json,Employment: Defence Expenditure,2.0
104,2010-10-19,Data/speeches/UK/nergy_ Renewables Directive 2010-10-19.json,Energy: Renewables Directive,2.0
105,2010-10-13,Data/speeches/UK/ngagements 2010-10-13.json,Engagements,2.0
106,2010-10-20,Data/speeches/UK/ngagements 2010-10-20.json,Engagements,2.0
107,2010-10-12,Data/speeches/UK/pilepsy Services 2010-10-12.json,Epilepsy Services,2.0
108,2010-10-18,Data/speeches/UK/quality (Disabled People) 2010-10-18.json,Equality (Disabled People),2.0
110,2010-10-11,Data/speeches/UK/inance (No. 2) Bill 2010-10-11.json,Finance (No. 2) Bill,2.0
112,2010-10-07,Data/speeches/UK/ood_ Regulation and Guidance 2010-10-07.json,Food: Regulation and Guidance,2.0
113,2010-10-19,Data/speeches/UK/oreign National Prisoners 2010-10-19.json,Foreign National Prisoners,2.0
114,2010-10-11,Data/speeches/UK/ree School Meals 2010-10-11.json,Free School Meals,2.0
115,2010-10-13,Data/speeches/UK/aza 2010-10-13.json,Gaza,2.0
116,2010-10-07,Data/speeches/UK/overnment Efficiency 2010-10-07.json,Government Efficiency,2.0
117,2010-10-14,Data/speeches/UK/overnment Efficiency_ Sir Philip Greens’ Report 2010-10-14.json,Government Efficiency: Sir Philip Greens’ Report,2.0
118,2010-10-20,Data/speeches/UK/overnment Procurement 2010-10-20.json,Government Procurement,2.0
119,2010-10-14,Data/speeches/UK/raduate Employability 2010-10-14.json,Graduate Employability,2.0
120,2010-10-14,Data/speeches/UK/reen Investment Bank 2010-10-14.json,Green Investment Bank,2.0
121,2010-10-14,Data/speeches/UK/rocery Supply Code of Practice 2010-10-14.json,Grocery Supply Code of Practice,2.0
122,2010-10-07,Data/speeches/UK/ealth Protection Agency 2010-10-07.json,Health Protection Agency,2.0
123,2010-10-21,Data/speeches/UK/ealth Services (North-east London) 2010-10-21.json,Health Services (North-east London),2.0
124,2010-10-06,Data/speeches/UK/ealth_ Addiction to Prescribed Drugs 2010-10-06.json,Health: Addiction to Prescribed Drugs,2.0
125,2010-10-11,Data/speeches/UK/ealth_ Neurological Conditions 2010-10-11.json,Health: Neurological Conditions,2.0
126,2010-10-19,Data/speeches/UK/ealth_ Osteoporosis 2010-10-19.json,Health: Osteoporosis,2.0
127,2010-10-11,Data/speeches/UK/elp for Families 2010-10-11.json,Help for Families,2.0
128,2010-10-12,Data/speeches/UK/igher Education and Student Finance 2010-10-12.json,Higher Education and Student Finance,2.0
129,2010-10-12,Data/speeches/UK/igher Education_ Funding 2010-10-12.json,Higher Education: Funding,2.0
130,2010-10-19,Data/speeches/UK/istoric Towns and Cities 2010-10-19.json,Historic Towns and Cities,2.0
139,2010-10-19,Data/speeches/UK/ouse of Commons Disqualification (Amendment) 2010-10-19.json,House of Commons Disqualification (Amendment),2.0
151,2010-10-11,Data/speeches/UK/ouse of Lords_ Reform 2010-10-11.json,House of Lords: Reform,2.0
152,2010-10-21,Data/speeches/UK/ousing (Local Authorities) 2010-10-21.json,Housing (Local Authorities),2.0
153,2010-10-21,Data/speeches/UK/ousing 2010-10-21.json,Housing,2.0
154,2010-10-13,Data/speeches/UK/ousing Benefit 2010-10-13.json,Housing Benefit,2.0
155,2010-10-21,Data/speeches/UK/ousing Development (Consultation) 2010-10-21.json,Housing Development (Consultation),2.0
156,2010-10-13,Data/speeches/UK/uman Fertilisation and Embryology_ Regulation 2010-10-13.json,Human Fertilisation and Embryology: Regulation,2.0
157,2010-10-07,Data/speeches/UK/uman Rights_ Spending Cuts 2010-10-07.json,Human Rights: Spending Cuts,2.0
158,2010-10-12,Data/speeches/UK/uman Trafficking 2010-10-12.json,Human Trafficking,2.0
159,2010-10-14,Data/speeches/UK/uman Trafficking 2010-10-14.json,Human Trafficking,2.0
160,2010-10-18,Data/speeches/UK/dentity Documents Bill 2010-10-18.json,Identity Documents Bill,2.0
161,2010-10-21,Data/speeches/UK/mmigration 2010-10-21.json,Immigration,2.0
162,2010-10-11,Data/speeches/UK/mmigration_ Detention of Children 2010-10-11.json,Immigration: Detention of Children,2.0
163,2010-10-20,Data/speeches/UK/mmigration_ Jimmy Mubenga 2010-10-20.json,Immigration: Jimmy Mubenga,2.0
164,2010-10-18,Data/speeches/UK/ncapacity Benefit 2010-10-18.json,Incapacity Benefit,2.0
165,2010-10-20,Data/speeches/UK/ndependent Financial Advisers 2010-10-20.json,Independent Financial Advisers,2.0
167,2010-10-13,Data/speeches/UK/nternational Development 2010-10-13.json,International Development,2.0
170,2010-10-07,Data/speeches/UK/srael and Palestine_ West Bank 2010-10-07.json,Israel and Palestine: West Bank,2.0
171,2010-10-14,Data/speeches/UK/srael_ Illegal Settlers 2010-10-14.json,Israel: Illegal Settlers,2.0
172,2010-10-18,Data/speeches/UK/obcentre Plus 2010-10-18.json,Jobcentre Plus,2.0
173,2010-10-19,Data/speeches/UK/udicial Co-operation (UK and Greece) 2010-10-19.json,Judicial Co-operation (UK and Greece),2.0
174,2010-10-19,Data/speeches/UK/ustice 2010-10-19.json,Justice,2.0
175,2010-10-19,Data/speeches/UK/eeds City Council Bill 2010-10-19 (1).json,Leeds City Council Bill,2.0
176,2010-10-19,Data/speeches/UK/eeds City Council Bill 2010-10-19 (2).json,Leeds City Council Bill,2.0
178,2010-10-11,Data/speeches/UK/inda Norgrove 2010-10-11.json,Linda Norgrove,2.0
179,2010-10-21,Data/speeches/UK/ocal Community Groups 2010-10-21.json,Local Community Groups,2.0
180,2010-10-21,Data/speeches/UK/ocal Councillors 2010-10-21.json,Local Councillors,2.0
181,2010-10-14,Data/speeches/UK/ocal Enterprise Partnerships 2010-10-14.json,Local Enterprise Partnerships,2.0
182,2010-10-21,Data/speeches/UK/ocal Government (Equal Opportunities) 2010-10-21.json,Local Government (Equal Opportunities),2.0
183,2010-10-21,Data/speeches/UK/ocal Government Bill [Lords] 2010-10-21.json,Local Government Bill [Lords],2.0
184,2010-10-13,Data/speeches/UK/ondon Local Authorities Bill [Lords]  (By Order) 2010-10-13.json,London Local Authorities Bill [Lords]  (By Order),2.0
185,2010-10-06,Data/speeches/UK/ords Chamber 2010-10-06.json,Lords Chamber,2.0
186,2010-10-07,Data/speeches/UK/ords Chamber 2010-10-07.json,Lords Chamber,2.0
187,2010-10-11,Data/speeches/UK/ords Chamber 2010-10-11.json,Lords Chamber,2.0
188,2010-10-12,Data/speeches/UK/ords Chamber 2010-10-12.json,Lords Chamber,2.0
189,2010-10-13,Data/speeches/UK/ords Chamber 2010-10-13.json,Lords Chamber,2.0
190,2010-10-14,Data/speeches/UK/ords Chamber 2010-10-14.json,Lords Chamber,2.0
191,2010-10-18,Data/speeches/UK/ords Chamber 2010-10-18.json,Lords Chamber,2.0
