,date,file_path,debate_title,country
137,2010-03-15,Data/speeches/UK/efined Pension Benefit Schemes 2010-03-15.json,Defined Pension Benefit Schemes,2.0
138,2010-03-10,Data/tmp_text_files/UK/Delegated Legislation 2010-03-10.txt,,
139,2010-03-16,Data/tmp_text_files/UK/Delegated Legislation 2010-03-16.txt,,
140,2010-03-17,Data/tmp_text_files/UK/DELEGATED LEGISLATION 2010-03-17.txt,,
141,2010-03-23,Data/speeches/UK/elegated Legislation 2010-03-23.json,Delegated Legislation,2.0
142,2010-03-16,Data/tmp_text_files/UK/Dementia Research 2010-03-16.txt,,
143,2010-03-16,Data/speeches/UK/ementia Strategy 2010-03-16.json,Dementia Strategy,2.0
144,2010-03-10,Data/tmp_text_files/UK/Department of Health 2010-03-10.txt,,
145,2010-03-10,Data/speeches/UK/epartmental Carbon Dioxide Emissions 2010-03-10.json,Departmental Carbon Dioxide Emissions,2.0
146,2010-03-17,Data/speeches/UK/evolution Settlement 2010-03-17.json,Devolution Settlement,2.0
147,2010-03-11,Data/speeches/UK/FID Audit 2010-03-11.json,DFID Audit,2.0
148,2010-03-22,Data/speeches/UK/iamond Jubilee 2010-03-22.json,Diamond Jubilee,2.0
149,2010-03-15,Data/speeches/UK/igital Economy Bill [HL] 2010-03-15.json,Digital Economy Bill [HL],2.0
150,2010-03-23,Data/speeches/UK/isability Policy (Economic Downturn) 2010-03-23.json,Disability Policy (Economic Downturn),2.0
151,2010-03-16,"Data/tmp_text_files/UK/Disrepair (Felstead Road, Castle Point) 2010-03-16.txt",,
152,2010-03-22,Data/speeches/UK/ogs (Crime) 2010-03-22.json,Dogs (Crime),2.0
153,2010-03-15,Data/speeches/UK/omestic Violence 2010-03-15.json,Domestic Violence,2.0
154,2010-03-18,Data/speeches/UK/omestic Violence 2010-03-18.json,Domestic Violence,2.0
155,2010-03-23,Data/speeches/UK/omestic Violence 2010-03-23.json,Domestic Violence,2.0
156,2010-03-11,Data/tmp_text_files/UK/Draft National Policy Statement for Electricity Networks Infrastructure (EN–5) 2010-03-11.txt,,
157,2010-03-11,Data/speeches/UK/raft National Policy Statement for Fossil Fuel Electricity Generating Infrastructure (EN-2) 2010-03-11.json,Draft National Policy Statement for Fossil Fuel Electricity Generating Infrastructure (EN-2),2.0
158,2010-03-11,Data/tmp_text_files/UK/Draft National Policy Statement for Gas Supply Infrastructure and Gas and Oil Pipelines (EN–4) 2010-03-11.txt,,
159,2010-03-11,Data/tmp_text_files/UK/Draft National Policy Statement for Renewable Energy Infrastructure (EN–3) 2010-03-11.txt,,
